20
20
-2	-2	-2	-2	-2	-2	-2	-2	-1	-1	-2	-1	-1	-2	-1	-1	-2	-1	-1	-2	
-2	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-2	-2	-1	0	0	-1	0	0	-2	
-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	
-2	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-2	
-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-1	-1	-1	-2	
-2	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-2	
-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-1	-1	-1	-2	
-2	-1	-1	-1	-1	-1	-1	-1	0	0	-2	0	0	-1	0	0	-1	0	0	-2	
0	0	0	0	0	0	0	0	33	0	0	0	49	0	0	49	0	0	49	0	
33	0	49	0	33	0	33	0	1701080942	1885425011	0	-2	-2	0	-1	-1	0	-1	-2	0	
-2	-2	-2	-1	-2	-2	-2	-2	0	0	-1	-2	-2	-2	0	0	-1	0	0	-2	
-1114664064	21934	0	0	0	0	0	0	0	0	-2	-2	-2	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	49	0	-2	-2	0	0	0	0	0	0	0	0	
-2	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-2	
-1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	
-2	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-2	
-1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	
-2	-2	-2	-2	-2	-2	-2	-2	0	0	-2	0	0	-2	0	0	-2	0	0	-2	
